language	term	count
ko_kp	살아나는	3
ko_kp	제품들을	3
ko_kp	벌리고있다	3
ko_kp	생산하여	3
ko_kp	하고있다	3
ko_kp	특히	3
ko_kp	질을	3
ko_kp	제품개발에	3
ko_kp	가지수를	3
ko_kp	종업원들은	3
ko_kp	옳게	3
ko_kp	당사업과	3
ko_kp	지닌	3
ko_kp	유일적령도체계를	3
ko_kp	혁명과	3
ko_kp	정치적참모부로서의	3
ko_kp	당원들이	3
ko_kp	다해나가야	3
ko_kp	4월	2
ko_kp	발굴되였다	2
ko_kp	창조한	2
ko_kp	많이	2
ko_kp	뜻을	2
ko_kp	받들고	2
ko_kp	연구집단은	2
ko_kp	신석기시대	2
ko_kp	５００년전	2
ko_kp	２개의	2
ko_kp	웃문화층에서는	2
ko_kp	청동기시대의	2
ko_kp	팽이그릇쪼각들이	2
ko_kp	아래문화층에서는	2
ko_kp	새김무늬그릇쪼각들이	2
ko_kp	연도가	2
ko_kp	화독시설과	2
ko_kp	없는	2
ko_kp	련계밑에	2
ko_kp	소금물저장시설의	2
ko_kp	주변토양의	2
ko_kp	소금을	2
ko_kp	생산하던	2
ko_kp	질그릇들은	2
ko_kp	０００년전의	2
ko_kp	청동기시대에	2
ko_kp	５００년전의	2
ko_kp	신석기시대에	2
ko_kp	조선중앙통신	2
ko_kp	쪼각	2
ko_kp	2면	2
ko_kp	력사	2
ko_kp	유족하고	2
ko_kp	숙원으로	2
ko_kp	간직한	2
ko_kp	경이적인	2
ko_kp	나날이	2
ko_kp	농업생산을	2
ko_kp	지속적으로	2
ko_kp	별천지로	2
ko_kp	어디서나	2
ko_kp	문명의	2
ko_kp	밝힌	2
ko_kp	없었던	2
ko_kp	철두철미	2
ko_kp	탁월한	2
ko_kp	령도와	2
ko_kp	위민헌신의	2
ko_kp	안아온	2
ko_kp	내놓고	2
ko_kp	자랑할수	2
ko_kp	사회주의락원으로	2
ko_kp	거룩한	2
ko_kp	펼쳐지게	2
ko_kp	농촌혁명강령	2
ko_kp	농촌발전의	2
ko_kp	앞길을	2
ko_kp	고귀한	2
ko_kp	눈부시게	2
ko_kp	격동의	2
ko_kp	할수	2
ko_kp	미래에로	2
ko_kp	가장	2
ko_kp	농촌혁명강령이	2
ko_kp	진로를	2
ko_kp	누구나	2
ko_kp	이룩할수	2
ko_kp	그것은	2
ko_kp	꿈과	2
ko_kp	헌신적인	2
ko_kp	농촌혁명을	2
ko_kp	끝없는	2
ko_kp	심혈을	2
ko_kp	기울이신	2
ko_kp	총비서동지	2
ko_kp	이룩하고	2
ko_kp	한다고	2
ko_kp	방향과	2
ko_kp	농업을	2
ko_kp	사업에	2
ko_kp	혁명령도의	2
ko_kp	불같은	2
ko_kp	숭엄히	2
ko_kp	깊은	2
ko_kp	관심을	2
ko_kp	그리고	2
ko_kp	바치신	2
ko_kp	제４차전원회의는	2
ko_kp	농촌혁명강령을	2
ko_kp	전원회의에서	2
ko_kp	제시하시였다	2
ko_kp	구체적으로	2
ko_kp	하시면서	2
ko_kp	근본적인	2
ko_kp	３대혁명을	2
ko_kp	주는	2
ko_kp	불길을	2
ko_kp	방대한	2
ko_kp	최단기간내에	2
ko_kp	실현할수	2
ko_kp	있게	2
ko_kp	위력한	2
ko_kp	불멸의	2
ko_kp	담보하는	2
ko_kp	다그쳐	2
ko_kp	리상을	2
ko_kp	현실로	2
ko_kp	마음껏	2
ko_kp	심혈과	2
ko_kp	열렬한	2
ko_kp	숙원에	2
ko_kp	떠받들려	2
ko_kp	력사가	2
ko_kp	진정	2
ko_kp	풍남광산개발공사를	2
ko_kp	제９차대회	2
ko_kp	８비날론련합기업소	2
ko_kp	로동계급이	2
ko_kp	다그치고있다	2
ko_kp	파쇄	2
ko_kp	건설해놓은	2
ko_kp	련합기업소로동계급은	2
ko_kp	단위와	2
ko_kp	공사를	2
ko_kp	완강히	2
ko_kp	하는데	2
ko_kp	않고	2
ko_kp	현지에	2
ko_kp	대중을	2
ko_kp	제기되는	2
ko_kp	문제들을	2
ko_kp	대책을	2
ko_kp	합리적인	2
ko_kp	자체의	2
ko_kp	기술자	2
ko_kp	종업원들의	2
