source_id	title	url_or_location	language	license	permission_status	domain	notes
url_f119ed45a0a9	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTZAMkAxQEAwQDFA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTZAMkAxQEAwQDFA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_33bc0320f0b0	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTdAMkAxQEAwQDJA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTdAMkAxQEAwQDJA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_d0c6c70f8dd9	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMThAMkAxQEAwQDNA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMThAMkAxQEAwQDNA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_0c991141388b	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTlAMkAxQEAwQDRA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMTlAMkAxQEAwQDRA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_c6e67c74c80d	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMjZAMkAxQEAwQDExQA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMjZAMkAxQEAwQDExQA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_c64a0a325176	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMjdAMkAxQEAwQDEyQA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNS0yOS0wMjdAMkAxQEAwQDEyQA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_7fa73ba1791a	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNC0wOC0wMTVAM0AxQEAwQDFA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNC0wOC0wMTVAM0AxQEAwQDFA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_7d75c9181b4c	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wMy0yMi0wNTRAM0AxQEAwQDRA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wMy0yMi0wNTRAM0AxQEAwQDRA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
url_0b7873ec5d6a	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNC0wOS0wNDNAN0AxQEAwQDFA==	http://www.rodong.rep.kp/ko/index.php?MTJAMjAyNi0wNC0wOS0wNDNAN0AxQEAwQDFA==	ko_kp	user-provided	needs-review	general	content_type=text/html; charset=UTF-8; imported_by=import_url_corpus.py
